Current Region,CurrentDistrict,Previous Region,PreviousDistrict,Arrival,ZoneName,OrganisationAcronym,0-4M,0-4F,5-11M,5-11F,12-17M,12-17F,18_59M,18_59F,60+M,60+F,Individuals,Category,Need
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,0,0,0,0,0,0,0,8,Drought,Livelihood support
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,0,3,4,1,0,0,0,2,0,0,10,Drought,Transport
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,0,0,0,0,0,0,0,8,Drought,Transport
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,2,2,0,0,0,0,0,0,0,7,Drought,Equal access to Aid
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,0,0,0,0,0,0,0,8,Drought,Health
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,4,2,0,0,0,0,0,0,0,9,Drought,Food
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,4,2,0,0,0,0,0,0,0,9,Drought,Livelihood support
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,2,2,0,0,0,0,0,0,0,7,Drought,Shelter
SO13,Buuhoodle,SO13,Buuhoodle,1/2/2021,Somaliland,SSWO,1,2,1,1,1,1,1,1,0,0,9,Drought,Health
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,0,0,0,0,0,0,0,8,Drought,Equal access to Aid
SO14,Laas Caanood,SO14,Taleex,1/2/2021,Somaliland,SSWO,1,2,2,1,1,1,1,1,0,0,10,Drought,Food
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,3,0,0,0,0,0,0,11,Drought,Equal access to Aid
SO14,Laas Caanood,SO14,Xudun,1/2/2021,Somaliland,SSWO,1,1,1,1,1,1,1,1,0,0,8,Drought,Food
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,3,0,0,0,0,0,0,11,Drought,Social/clan protection
SO14,Laas Caanood,SO14,Laas Caanood,1/2/2021,Somaliland,SSWO,1,1,1,1,1,1,0,1,0,0,7,Drought,Food
SO16,Iskushuban,SO16,Qardho,1/2/2021,Puntland,MRF,3,3,2,0,0,0,0,0,0,0,8,Drought,Health
SO13,Buuhoodle,SO13,Buuhoodle,1/2/2021,Somaliland,SSWO,1,1,1,1,0,1,1,1,0,0,7,Other,Health
SO22,Banadir,SO23,Afgooye,1/1/2021,South  Central,SRDO,2,2,0,0,0,0,0,1,0,0,5,Conflict/Insecurity,Food
SO20,Banadir,SO23,Afgooye,1/1/2021,South  Central,SRDO,2,1,0,0,0,0,0,1,0,0,4,Conflict/Insecurity,Food
SO21,Banadir,SO23,Afgooye,1/1/2021,South  Central,SRDO,2,3,0,0,0,0,1,1,0,0,7,Conflict/Insecurity,Food
SO22,Banadir,SO23,Marka,1/1/2021,South  Central,SRDO,2,1,0,0,0,0,0,1,0,0,4,Conflict/Insecurity,Food
SO22,Banadir,SO23,Marka,1/1/2021,South  Central,SRDO,2,2,0,1,0,0,0,1,0,0,6,Conflict/Insecurity,Food
SO22,Banadir,SO23,Marka,1/1/2021,South  Central,SRDO,2,1,0,0,0,0,0,1,0,0,4,Conflict/Insecurity,Food
SO22,Banadir,SO23,Marka,1/1/2021,South  Central,SRDO,2,1,1,0,0,0,0,1,0,0,5,Conflict/Insecurity,Food
SO22,Banadir,SO23,Marka,1/1/2021,South  Central,SRDO,2,1,1,0,0,0,1,1,0,0,6,Conflict/Insecurity,Food
SO22,Banadir,SO20,Belet Weyne,1/2/2021,South  Central,SRDO,1,1,1,0,0,0,1,1,0,0,5,Conflict/Insecurity,Health
SO22,Banadir,SO20,Belet Weyne,1/2/2021,South  Central,SRDO,1,1,1,0,1,0,0,1,0,0,5,Conflict/Insecurity,Health
SO22,Banadir,SO20,Belet Weyne,1/2/2021,South  Central,SRDO,1,0,1,0,1,0,1,1,0,0,5,Conflict/Insecurity,Health
SO27,Saakow,SO24,Diinsoor,1/2/2021,South  Central,SDIO,1,1,1,2,1,1,3,1,0,1,12,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/2/2021,South  Central,SDIO,1,1,1,2,1,1,1,1,1,0,10,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/2/2021,South  Central,SDIO,1,1,1,1,1,1,2,1,1,1,11,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/2/2021,South  Central,SDIO,1,1,1,2,1,1,1,1,0,0,9,Drought,Food
SO16,Bossaso,SO15,Laasqoray,1/1/2021,Puntland,LQC,0,0,0,0,1,1,1,1,0,0,4,Drought,Food
SO27,Saakow,SO26,Baardheere,1/2/2021,South  Central,SDIO,1,1,1,1,0,1,1,1,0,0,7,Drought,Food
SO27,Saakow,SO26,Baardheere,1/2/2021,South  Central,SDIO,1,0,0,1,1,0,1,1,0,0,5,Drought,Food
SO16,Bossaso,SO15,Laasqoray,1/1/2021,Puntland,LQC,0,0,0,0,2,2,1,1,0,0,6,Drought,Food
SO27,Saakow,SO26,Baardheere,1/2/2021,South  Central,SDIO,1,1,1,1,1,1,1,1,0,0,8,Drought,Food
SO27,Saakow,SO26,Baardheere,1/2/2021,South  Central,SDIO,0,1,0,1,1,1,1,1,0,0,6,Drought,Food
SO27,Saakow,SO26,Baardheere,1/2/2021,South  Central,SDIO,0,1,0,1,0,0,1,1,0,0,4,Drought,Food
SO16,Bossaso,SO16,Caluula,1/1/2021,Puntland,LQC,0,0,0,0,1,1,1,1,0,0,4,Drought,Food
SO26,Garbahaarey,SO26,Garbahaarey,1/2/2021,South  Central,SORDES,0,1,1,2,1,0,1,1,0,0,7,Drought,Food
SO15,Ceerigaabo,SO15,Ceerigaabo,1/2/2021,Somaliland,SOYDAVOSANAAG,2,1,1,0,0,0,1,1,0,0,6,Drought,Agricultural/pastoralist support
SO27,Saakow,SO24,Diinsoor,1/3/2021,South  Central,SDIO,1,2,1,1,1,1,1,1,1,0,10,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/3/2021,South  Central,SDIO,1,1,1,1,1,0,1,1,0,1,8,Drought,Food
SO15,Ceerigaabo,SO15,Ceerigaabo,1/3/2021,Somaliland,SOYDAVOSANAAG,2,1,1,0,0,0,1,1,0,0,6,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/3/2021,South  Central,SDIO,1,0,1,1,0,1,1,1,0,0,6,Drought,Food
SO15,Ceerigaabo,SO15,Ceerigaabo,1/3/2021,Somaliland,SOYDAVOSANAAG,1,1,1,2,0,0,1,1,0,0,7,Other,Livelihood support
SO28,Jamaame,SO28,Jamaame,1/2/2021,South  Central,JF,1,1,1,1,1,1,1,1,0,0,8,Conflict/Insecurity,Shelter
SO27,Saakow,SO24,Diinsoor,1/3/2021,South  Central,SDIO,1,1,1,1,2,1,1,1,0,0,9,Drought,Food
SO27,Saakow,SO24,Diinsoor,1/3/2021,South  Central,SDIO,1,0,1,1,1,1,1,1,0,0,7,Drought,Food
SO27,Saakow,SO26,Baardheere,1/3/2021,South  Central,SDIO,1,1,0,1,0,0,1,1,0,0,5,Drought,Food
SO28,Jamaame,SO28,Jamaame,1/2/2021,South  Central,JF,1,1,0,1,1,1,1,1,0,0,7,Conflict/Insecurity,Shelter
SO15,Ceerigaabo,SO15,Ceerigaabo,1/2/2021,Somaliland,SOYDAVOSANAAG,2,1,1,0,0,0,1,2,0,0,7,Drought,Livelihood support
SO27,Saakow,SO26,Baardheere,1/3/2021,South  Central,SDIO,1,0,0,1,0,0,0,1,0,0,3,Drought,Food
SO27,Saakow,SO26,Baardheere,1/3/2021,South  Central,SDIO,0,1,1,0,1,0,0,1,0,0,4,Drought,Food
SO27,Saakow,SO26,Baardheere,1/3/2021,South  Central,SDIO,0,0,1,0,0,0,0,1,0,0,2,Drought,Food
SO28,Kismayo,SO28,Jamaame,1/2/2021,South  Central,SEDHURO,1,0,1,1,0,1,1,0,0,0,5,Drought,Shelter
SO27,Saakow,SO26,Baardheere,1/3/2021,South  Central,SDIO,1,1,1,1,1,1,1,1,0,1,9,Drought,Food
SO28,Jamaame,SO28,Jamaame,1/2/2021,South  Central,JF,1,1,1,0,1,1,0,1,0,0,6,Conflict/Insecurity,Shelter
SO28,Kismayo,SO28,Jamaame,1/1/2021,South  Central,SEDHURO,1,0,1,1,1,1,1,1,0,0,7,Flood,Shelter
SO28,Kismayo,SO28,Jamaame,1/1/2021,South  Central,SEDHURO,1,0,1,0,1,1,1,1,0,0,6,Drought,Shelter
SO28,Jamaame,SO28,Jamaame,1/2/2021,South  Central,JF,1,1,1,1,1,1,1,1,0,1,9,Conflict/Insecurity,Shelter
