Current Region,CurrentDistrict,Previous Region,PreviousDistrict,Arrival,ZoneName,OrganisationAcronym,0-4M,0-4F,5-11M,5-11F,12-17M,12-17F,18_59M,18_59F,60+M,60+F,Individuals,Category,Need
SO18,Galdogob,SO18,Gaalkacyo,9/17/2019,Puntland,SBACO,2,1,0,0,1,0,0,1,0,0,5,Drought,Livelihood support
SO14,Caynabo,SO14,Caynabo,10/17/2019,Somaliland,SOYDAVO,0,0,1,0,1,0,0,1,1,0,4,Other,Food
SO18,Xarardheere,SO18,Hobyo,1/1/2019,Puntland,SOSDA,2,0,2,0,2,0,1,1,0,1,9,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/1/2019,Puntland,SOSDA,2,0,2,0,2,0,1,1,0,0,8,Drought,Livelihood support
SO18,Xarardheere,SO18,Hobyo,1/1/2019,Puntland,SOSDA,0,0,2,0,1,1,1,1,0,0,6,Other,Protection from conflict
SO18,Xarardheere,SO18,Hobyo,1/1/2019,Puntland,SOSDA,0,0,2,0,1,0,0,1,0,0,4,Drought,Water
SO18,Xarardheere,SO18,Hobyo,1/1/2019,Puntland,SOSDA,0,0,2,0,2,0,0,1,0,0,5,Drought,Water
SO22,Banadir,SO23,Afgooye,1/1/2019,South  Central,SRDO,1,1,1,1,0,0,0,1,1,0,6,Drought,Food
SO22,Banadir,SO23,Afgooye,1/1/2019,South  Central,SRDO,1,1,1,0,0,1,1,0,0,0,5,Drought,Food
SO22,Banadir,SO23,Afgooye,1/1/2019,South  Central,SRDO,1,1,1,1,0,0,0,1,1,1,7,Drought,Food
SO22,Banadir,SO23,Afgooye,1/1/2019,South  Central,SRDO,1,1,1,1,1,0,0,1,1,1,8,Conflict/Insecurity,
SO22,Banadir,SO23,Afgooye,1/1/2019,South  Central,SRDO,1,1,1,1,1,1,0,1,1,1,9,Conflict/Insecurity,
SO28,Kismayo,SO28,Kismayo,1/1/2019,South  Central,KPDO,1,1,1,1,0,0,1,1,0,0,6,Drought,
SO28,Kismayo,SO28,Jamaame,1/1/2019,South  Central,KPDO,1,1,1,1,0,0,1,1,0,0,6,Other,
SO28,Kismayo,SO28,Jamaame,1/1/2019,South  Central,KPDO,1,1,1,2,0,0,1,1,0,0,7,Other,
SO14,Laas Caanood,SO14,Taleex,1/2/2019,Somaliland,SVO,1,2,1,1,1,2,2,1,0,0,11,Drought,Food
SO14,Laas Caanood,SO14,Taleex,1/2/2019,Somaliland,SVO,1,1,2,2,1,1,1,1,0,0,10,Drought,Food
SO14,Laas Caanood,SO14,Xudun,1/2/2019,Somaliland,SVO,2,0,2,1,0,1,1,1,0,0,8,Drought,Water
SO14,Laas Caanood,SO14,Taleex,1/2/2019,Somaliland,SVO,2,1,1,1,1,2,1,1,0,0,10,Drought,Water
SO14,Laas Caanood,SO14,Xudun,1/2/2019,Somaliland,SVO,1,1,2,1,0,0,1,1,0,0,7,Drought,Food
SO18,Gaalkacyo,SO20,Bulo Burto,1/1/2019,Puntland,SBACO,1,1,1,0,0,0,0,1,0,0,4,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/2/2019,South  Central,SEDHURO,1,0,1,1,0,0,1,1,0,0,5,Conflict/Insecurity,Food
SO28,Kismayo,SO28,Jamaame,1/2/2019,South  Central,SEDHURO,1,1,0,0,0,0,1,1,0,0,4,Drought,Food
SO26,Belet Xaawo,SO26,Belet Xaawo,1/2/2019,South  Central,IDF,0,0,0,0,0,0,3,4,0,0,7,Other,Food
SO18,Galdogob,SO18,Gaalkacyo,1/2/2019,Puntland,SBACO,0,0,0,2,0,1,1,1,0,0,5,Drought,Livelihood support
SO18,Galdogob,SO18,Gaalkacyo,1/2/2019,Puntland,SBACO,0,0,0,2,1,1,1,1,0,0,6,Drought,Livelihood support
SO14,Laas Caanood,SO14,Xudun,1/2/2019,Somaliland,SVO,1,1,2,1,1,1,1,1,0,0,9,Drought,Livelihood support
SO14,Laas Caanood,SO14,Taleex,1/2/2019,Somaliland,SVO,2,1,1,2,1,1,1,1,0,0,10,Drought,Food
SO28,Afmadow,SO27,Bu'aale,1/2/2019,South  Central,SODA,1,2,0,1,0,2,0,1,0,1,8,Conflict/Insecurity,Health
SO24,Diinsoor,SO27,Bu'aale,1/1/2019,South  Central,IRMAN-HRD ,1,2,1,1,0,0,1,1,0,0,7,Conflict/Insecurity,Health
SO24,Diinsoor,SO27,Bu'aale,1/1/2019,South  Central,IRMAN-HRD ,0,0,2,1,2,1,1,1,1,0,9,Conflict/Insecurity,Livelihood support
SO24,Diinsoor,SO27,Bu'aale,1/1/2019,South  Central,IRMAN-HRD ,1,1,0,1,2,1,1,1,1,0,9,Conflict/Insecurity,Livelihood support
